Date,Year,Month,Day of Month,Weekday,Is Weekend,Is Holiday,Holiday Name,Season,Days Until Next Trading Day,Date of Next Trading Day,Is Start of Month,Is Last Day of Month
1980-01-01,1980,January,1,Tuesday,False,True,New Year's Day,Winter,1,1980-01-02,True,False
1980-01-05,1980,January,5,Saturday,True,False,Weekend,Winter,2,1980-01-07,False,False
1980-01-06,1980,January,6,Sunday,True,False,Weekend,Winter,1,1980-01-07,False,False
1980-01-12,1980,January,12,Saturday,True,False,Weekend,Winter,2,1980-01-14,False,False
1980-01-13,1980,January,13,Sunday,True,False,Weekend,Winter,1,1980-01-14,False,False
1980-01-19,1980,January,19,Saturday,True,False,Weekend,Winter,2,1980-01-21,False,False
1980-01-20,1980,January,20,Sunday,True,False,Weekend,Winter,1,1980-01-21,False,False
1980-01-26,1980,January,26,Saturday,True,False,Weekend,Winter,2,1980-01-28,False,False
1980-01-27,1980,January,27,Sunday,True,False,Weekend,Winter,1,1980-01-28,False,False
1980-02-02,1980,February,2,Saturday,True,False,Weekend,Winter,2,1980-02-04,False,False
1980-02-03,1980,February,3,Sunday,True,False,Weekend,Winter,1,1980-02-04,False,False
1980-02-09,1980,February,9,Saturday,True,False,Weekend,Winter,2,1980-02-11,False,False
1980-02-10,1980,February,10,Sunday,True,False,Weekend,Winter,1,1980-02-11,False,False
1980-02-16,1980,February,16,Saturday,True,False,Weekend,Winter,3,1980-02-19,False,False
1980-02-17,1980,February,17,Sunday,True,False,Weekend,Winter,2,1980-02-19,False,False
1980-02-18,1980,February,18,Monday,False,True,Washington's Birthday,Winter,1,1980-02-19,False,False
1980-02-23,1980,February,23,Saturday,True,False,Weekend,Winter,2,1980-02-25,False,False
1980-02-24,1980,February,24,Sunday,True,False,Weekend,Winter,1,1980-02-25,False,False
1980-03-01,1980,March,1,Saturday,True,False,Weekend,Spring,2,1980-03-03,True,False
1980-03-02,1980,March,2,Sunday,True,False,Weekend,Spring,1,1980-03-03,False,False
1980-03-08,1980,March,8,Saturday,True,False,Weekend,Spring,2,1980-03-10,False,False
1980-03-09,1980,March,9,Sunday,True,False,Weekend,Spring,1,1980-03-10,False,False
1980-03-15,1980,March,15,Saturday,True,False,Weekend,Spring,2,1980-03-17,False,False
1980-03-16,1980,March,16,Sunday,True,False,Weekend,Spring,1,1980-03-17,False,False
1980-03-22,1980,March,22,Saturday,True,False,Weekend,Spring,2,1980-03-24,False,False
1980-03-23,1980,March,23,Sunday,True,False,Weekend,Spring,1,1980-03-24,False,False
1980-03-29,1980,March,29,Saturday,True,False,Weekend,Spring,2,1980-03-31,False,False
1980-03-30,1980,March,30,Sunday,True,False,Weekend,Spring,1,1980-03-31,False,False
1980-04-04,1980,April,4,Friday,False,True,Holiday,Spring,3,1980-04-07,False,False
1980-04-05,1980,April,5,Saturday,True,False,Weekend,Spring,2,1980-04-07,False,False
1980-04-06,1980,April,6,Sunday,True,False,Weekend,Spring,1,1980-04-07,False,False
1980-04-12,1980,April,12,Saturday,True,False,Weekend,Spring,2,1980-04-14,False,False
1980-04-13,1980,April,13,Sunday,True,False,Weekend,Spring,1,1980-04-14,False,False
1980-04-19,1980,April,19,Saturday,True,False,Weekend,Spring,2,1980-04-21,False,False
1980-04-20,1980,April,20,Sunday,True,False,Weekend,Spring,1,1980-04-21,False,False
1980-04-26,1980,April,26,Saturday,True,False,Weekend,Spring,2,1980-04-28,False,False
1980-04-27,1980,April,27,Sunday,True,False,Weekend,Spring,1,1980-04-28,False,False
1980-05-03,1980,May,3,Saturday,True,False,Weekend,Spring,2,1980-05-05,False,False
1980-05-04,1980,May,4,Sunday,True,False,Weekend,Spring,1,1980-05-05,False,False
1980-05-10,1980,May,10,Saturday,True,False,Weekend,Spring,2,1980-05-12,False,False
1980-05-11,1980,May,11,Sunday,True,False,Weekend,Spring,1,1980-05-12,False,False
1980-05-17,1980,May,17,Saturday,True,False,Weekend,Spring,2,1980-05-19,False,False
1980-05-18,1980,May,18,Sunday,True,False,Weekend,Spring,1,1980-05-19,False,False
1980-05-24,1980,May,24,Saturday,True,False,Weekend,Spring,3,1980-05-27,False,False
1980-05-25,1980,May,25,Sunday,True,False,Weekend,Spring,2,1980-05-27,False,False
1980-05-26,1980,May,26,Monday,False,True,Memorial Day,Spring,1,1980-05-27,False,False
1980-05-31,1980,May,31,Saturday,True,False,Weekend,Spring,2,1980-06-02,False,True
1980-06-01,1980,June,1,Sunday,True,False,Weekend,Summer,1,1980-06-02,True,False
1980-06-07,1980,June,7,Saturday,True,False,Weekend,Summer,2,1980-06-09,False,False
1980-06-08,1980,June,8,Sunday,True,False,Weekend,Summer,1,1980-06-09,False,False
1980-06-14,1980,June,14,Saturday,True,False,Weekend,Summer,2,1980-06-16,False,False
1980-06-15,1980,June,15,Sunday,True,False,Weekend,Summer,1,1980-06-16,False,False
1980-06-21,1980,June,21,Saturday,True,False,Weekend,Summer,2,1980-06-23,False,False
1980-06-22,1980,June,22,Sunday,True,False,Weekend,Summer,1,1980-06-23,False,False
1980-06-28,1980,June,28,Saturday,True,False,Weekend,Summer,2,1980-06-30,False,False
1980-06-29,1980,June,29,Sunday,True,False,Weekend,Summer,1,1980-06-30,False,False
1980-07-04,1980,July,4,Friday,False,True,Independence Day,Summer,3,1980-07-07,False,False
1980-07-05,1980,July,5,Saturday,True,False,Weekend,Summer,2,1980-07-07,False,False
1980-07-06,1980,July,6,Sunday,True,False,Weekend,Summer,1,1980-07-07,False,False
1980-07-12,1980,July,12,Saturday,True,False,Weekend,Summer,2,1980-07-14,False,False
1980-07-13,1980,July,13,Sunday,True,False,Weekend,Summer,1,1980-07-14,False,False
1980-07-19,1980,July,19,Saturday,True,False,Weekend,Summer,2,1980-07-21,False,False
1980-07-20,1980,July,20,Sunday,True,False,Weekend,Summer,1,1980-07-21,False,False
1980-07-26,1980,July,26,Saturday,True,False,Weekend,Summer,2,1980-07-28,False,False
1980-07-27,1980,July,27,Sunday,True,False,Weekend,Summer,1,1980-07-28,False,False
1980-08-02,1980,August,2,Saturday,True,False,Weekend,Summer,2,1980-08-04,False,False
1980-08-03,1980,August,3,Sunday,True,False,Weekend,Summer,1,1980-08-04,False,False
1980-08-09,1980,August,9,Saturday,True,False,Weekend,Summer,2,1980-08-11,False,False
1980-08-10,1980,August,10,Sunday,True,False,Weekend,Summer,1,1980-08-11,False,False
1980-08-16,1980,August,16,Saturday,True,False,Weekend,Summer,2,1980-08-18,False,False
1980-08-17,1980,August,17,Sunday,True,False,Weekend,Summer,1,1980-08-18,False,False
1980-08-23,1980,August,23,Saturday,True,False,Weekend,Summer,2,1980-08-25,False,False
1980-08-24,1980,August,24,Sunday,True,False,Weekend,Summer,1,1980-08-25,False,False
1980-08-30,1980,August,30,Saturday,True,False,Weekend,Summer,3,1980-09-02,False,False
1980-08-31,1980,August,31,Sunday,True,False,Weekend,Summer,2,1980-09-02,False,True
1980-09-01,1980,September,1,Monday,False,True,Labor Day,Fall,1,1980-09-02,True,False
1980-09-06,1980,September,6,Saturday,True,False,Weekend,Fall,2,1980-09-08,False,False
1980-09-07,1980,September,7,Sunday,True,False,Weekend,Fall,1,1980-09-08,False,False
1980-09-13,1980,September,13,Saturday,True,False,Weekend,Fall,2,1980-09-15,False,False
1980-09-14,1980,September,14,Sunday,True,False,Weekend,Fall,1,1980-09-15,False,False
1980-09-20,1980,September,20,Saturday,True,False,Weekend,Fall,2,1980-09-22,False,False
1980-09-21,1980,September,21,Sunday,True,False,Weekend,Fall,1,1980-09-22,False,False
1980-09-27,1980,September,27,Saturday,True,False,Weekend,Fall,2,1980-09-29,False,False
1980-09-28,1980,September,28,Sunday,True,False,Weekend,Fall,1,1980-09-29,False,False
1980-10-04,1980,October,4,Saturday,True,False,Weekend,Fall,2,1980-10-06,False,False
1980-10-05,1980,October,5,Sunday,True,False,Weekend,Fall,1,1980-10-06,False,False
1980-10-11,1980,October,11,Saturday,True,False,Weekend,Fall,2,1980-10-13,False,False
1980-10-12,1980,October,12,Sunday,True,False,Weekend,Fall,1,1980-10-13,False,False
1980-10-18,1980,October,18,Saturday,True,False,Weekend,Fall,2,1980-10-20,False,False
1980-10-19,1980,October,19,Sunday,True,False,Weekend,Fall,1,1980-10-20,False,False
1980-10-25,1980,October,25,Saturday,True,False,Weekend,Fall,2,1980-10-27,False,False
1980-10-26,1980,October,26,Sunday,True,False,Weekend,Fall,1,1980-10-27,False,False
1980-11-01,1980,November,1,Saturday,True,False,Weekend,Fall,2,1980-11-03,True,False
1980-11-02,1980,November,2,Sunday,True,False,Weekend,Fall,1,1980-11-03,False,False
1980-11-04,1980,November,4,Tuesday,False,True,Holiday,Fall,1,1980-11-05,False,False
1980-11-08,1980,November,8,Saturday,True,False,Weekend,Fall,2,1980-11-10,False,False
1980-11-09,1980,November,9,Sunday,True,False,Weekend,Fall,1,1980-11-10,False,False
1980-11-15,1980,November,15,Saturday,True,False,Weekend,Fall,2,1980-11-17,False,False
1980-11-16,1980,November,16,Sunday,True,False,Weekend,Fall,1,1980-11-17,False,False
1980-11-22,1980,November,22,Saturday,True,False,Weekend,Fall,2,1980-11-24,False,False
1980-11-23,1980,November,23,Sunday,True,False,Weekend,Fall,1,1980-11-24,False,False
1980-11-27,1980,November,27,Thursday,False,True,Thanksgiving,Fall,1,1980-11-28,False,False
1980-11-29,1980,November,29,Saturday,True,False,Weekend,Fall,2,1980-12-01,False,False
1980-11-30,1980,November,30,Sunday,True,False,Weekend,Fall,1,1980-12-01,False,True
1980-12-06,1980,December,6,Saturday,True,False,Weekend,Winter,2,1980-12-08,False,False
1980-12-07,1980,December,7,Sunday,True,False,Weekend,Winter,1,1980-12-08,False,False
1980-12-13,1980,December,13,Saturday,True,False,Weekend,Winter,2,1980-12-15,False,False
1980-12-14,1980,December,14,Sunday,True,False,Weekend,Winter,1,1980-12-15,False,False
1980-12-20,1980,December,20,Saturday,True,False,Weekend,Winter,2,1980-12-22,False,False
1980-12-21,1980,December,21,Sunday,True,False,Weekend,Winter,1,1980-12-22,False,False
1980-12-25,1980,December,25,Thursday,False,True,Christmas Day,Winter,1,1980-12-26,False,False
1980-12-27,1980,December,27,Saturday,True,False,Weekend,Winter,2,1980-12-29,False,False
1980-12-28,1980,December,28,Sunday,True,False,Weekend,Winter,1,1980-12-29,False,False
1981-01-01,1981,January,1,Thursday,False,True,New Year's Day,Winter,1,1981-01-02,True,False
1981-01-03,1981,January,3,Saturday,True,False,Weekend,Winter,2,1981-01-05,False,False
