date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-05-18,38.2318,45.0,38.0,42.05,573576400,38.0869166302485,44.8294678346608,37.8559950603802,41.8906471654997,573576400,0.0,1.0
2012-05-21,34.03,36.66,33.0,36.53,168192700,33.9010397869668,36.5210731293036,32.8749430787512,36.3915657777813,168192700,0.0,1.0
2012-05-22,31.0,33.59,30.94,32.61,101786600,30.8825222860996,33.4627072125834,30.8227496623201,32.4864210241842,101786600,0.0,1.0
2012-05-23,32.0,32.5,31.36,31.37,73600000,31.8787326824254,32.3768378805883,31.2411580287769,31.2511201327402,73600000,0.0,1.0
2012-05-24,33.03,33.21,31.77,32.95,50237200,32.904829390641,33.0841472619796,31.6496042912705,32.8251325589349,50237200,0.0,1.0
2012-05-25,31.91,32.95,31.11,32.9,37149800,31.7890737467561,32.8251325589349,30.9921054296955,32.7753220391186,37149800,0.0,1.0
2012-05-29,28.84,31.69,28.65,31.48,78063400,28.7307078300359,31.5699074595644,28.541427854734,31.360703276336,78063400,0.0,1.0
2012-05-30,28.19,29.55,27.86,28.695,57267900,28.0831710724242,29.4380172114272,27.7544216416366,28.5862573225687,57267900,0.0,1.0
2012-05-31,29.6,29.67,26.83,28.545,111639200,29.4878277312435,29.5575624589863,26.7283249334211,28.4368257631198,111639200,0.0,1.0
2012-06-01,27.72,29.15,27.39,28.892,41855500,27.614952186151,29.0395330528969,27.2862027553635,28.7825107706449,41855500,0.0,1.0
2012-06-04,26.9,27.65,26.44,27.2,35230300,26.7980596611639,27.5452174584082,26.339802878854,27.0969227800616,35230300,0.0,1.0
2012-06-05,25.869,27.76,25.75,26.7,42473400,25.770966742552,27.6548006020041,25.6524177053892,26.5988175818987,42473400,0.0,1.0
2012-06-06,26.81,27.17,25.52,26.07,61489200,26.7084007254946,27.0670364681718,25.4232893142343,25.9712050322135,61489200,0.0,1.0
2012-06-07,26.31,27.35,26.15,27.0,26159500,26.2102955273317,27.2463543395105,26.0509018639195,26.8976807007965,26159500,0.0,1.0
2012-06-08,27.1,27.76,26.44,26.55,38034000,26.997301740429,27.6548006020041,26.339802878854,26.4493860224498,38034000,0.0,1.0
2012-06-11,27.005,28.07,26.835,27.18,28219600,26.9026617527781,27.9636258248651,26.7333059854027,27.0769985721351,28219600,0.0,1.0
2012-06-12,27.4,27.77,26.96,27.48,15816800,27.2961648593268,27.6647627059673,26.8578322849434,27.3758616910328,15816800,0.0,1.0
2012-06-13,27.27,28.1,27.1,27.66,17102800,27.1666575078044,27.9935121367548,26.997301740429,27.5551795623715,17102800,0.0,1.0
2012-06-14,28.29,28.32,27.38,27.65,16855000,28.1827921120567,28.2126784239465,27.2762406514003,27.5452174584082,16855000,0.0,1.0
2012-06-15,30.014,30.1,28.35,28.505,43563800,29.9002588353224,29.9859329294064,28.2425647358363,28.3969773472668,43563800,0.0,1.0
2012-06-18,31.41,32.08,29.41,29.955,42978900,31.2909685485932,31.9584295141315,29.2985477559416,29.8414824219392,42978900,0.0,1.0
2012-06-19,31.911,32.18,30.7,31.535,30849000,31.7900699571524,32.0580505537641,30.5836591672019,31.4154948481339,30849000,0.0,1.0
2012-06-20,31.6,31.9288,31.15,31.92,15553600,31.4802485238951,31.807802502207,31.0319538455485,31.7990358507194,15553600,0.0,1.0
2012-06-21,31.84,32.5,31.51,31.67,21875300,31.7193390190133,32.3768378805883,31.3905895882258,31.5499832516379,21875300,0.0,1.0
2012-06-22,33.05,33.45,32.06,32.41,74834000,32.9247535985675,33.3232377570978,31.938505306205,32.287178944919,74834000,0.0,1.0
2012-06-25,32.06,33.02,31.55,32.86,24352900,31.938505306205,32.8948672866777,31.4304380040788,32.7354736232656,24352900,0.0,1.0
2012-06-26,33.1,33.44,32.5,32.69,24858700,32.9745641183838,33.3132756531346,32.3768378805883,32.5661178558902,24858700,0.0,1.0
2012-06-27,32.23,32.9,31.9,32.46,28568000,32.1078610735804,32.7753220391186,31.7791116427928,32.3369894647353,28568000,0.0,1.0
2012-06-28,31.36,32.19,30.9,31.96,17713300,31.2411580287769,32.0680126577273,30.7829012464671,31.8388842665724,17713300,0.0,1.0
2012-06-29,31.095,31.99,30.76,31.92,19526900,30.9771622737506,31.8687705784622,30.6434317909814,31.7990358507194,19526900,0.0,1.0
2012-07-02,30.771,31.73,30.55,31.25,14122000,30.654390105341,31.6097558754175,30.434227607753,31.1315748851811,14122000,0.0,1.0
2012-07-03,31.2,31.44,30.8,30.91,8763600,31.0817643653648,31.320854860483,30.6832802068345,30.7928633504303,8763600,0.0,1.0
2012-07-05,31.47,31.625,31.02,31.32,10032100,31.3507411723728,31.5051537838033,30.9024464940261,31.2013096129239,10032100,0.0,1.0
2012-07-06,31.73,31.9,31.26,31.44,10945600,31.6097558754175,31.7791116427928,31.1415369891443,31.320854860483,10945600,0.0,1.0
2012-07-09,32.17,32.88,31.99,32.1,17785200,32.0480884498008,32.7553978311921,31.8687705784622,31.978353722058,17785200,0.0,1.0
2012-07-10,31.47,32.48,31.1599,32.43,14269500,31.3507411723728,32.3569136726618,31.0418163284721,32.3071031528455,14269500,0.0,1.0
2012-07-11,30.97,31.56,30.55,31.48,13030300,30.8526359742099,31.4404001080421,30.434227607753,31.360703276336,13030300,0.0,1.0
2012-07-12,30.81,31.4,30.6,30.7,11300700,30.6932423107977,31.2810064446299,30.4840381275693,30.5836591672019,11300700,0.0,1.0
2012-07-13,30.72,31.07,30.56,31.04,8108300,30.6035833751284,30.9522570138424,30.4441897117163,30.9223707019527,8108300,0.0,1.0
2012-07-16,28.245,30.5,28.21,30.5,24672100,28.1379626442221,30.3844170879367,28.1030952803507,30.3844170879367,24672100,0.0,1.0
2012-07-17,28.09,28.59,27.15,28.48,30438600,27.9835500327916,28.4816552309545,27.0471122602453,28.3720720873586,30438600,0.0,1.0
