date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1999-01-22,19.69,23.44,18.63,21.0,5655600,0.0376236247990101,0.044789119618527,0.03559817826336,0.0401267709892947,2714686642,0.0,1.0
1999-01-25,21.75,22.0,19.69,21.25,1063500,0.0415598699531981,0.0420375696078325,0.0376236247990101,0.0406044706439291,510479744,0.0,1.0
1999-01-26,20.06,22.44,19.75,22.0,715000,0.0383306202878691,0.0428783209999892,0.0377382727161224,0.0420375696078325,343199828,0.0,1.0
1999-01-27,20.0,20.63,19.0,20.13,509100,0.0382159723707568,0.0394197755004357,0.036305173752219,0.0384643761911668,244367877,0.0,1.0
1999-01-28,19.94,20.13,19.81,20.0,474000,0.0381013244536446,0.0384643761911668,0.0378529206332347,0.0382159723707568,227519886,0.0,1.0
1999-01-29,19.0,20.0,19.0,19.94,508400,0.036305173752219,0.0382159723707568,0.036305173752219,0.0381013244536446,244031877,0.0,1.0
1999-02-01,19.38,19.5,19.0,19.0,322300,0.0370312772272634,0.0372605730614879,0.036305173752219,0.036305173752219,154703922,0.0,1.0
1999-02-02,17.88,19.5,17.31,19.0,550200,0.0341650792994566,0.0372605730614879,0.0330759240868901,0.036305173752219,264095867,0.0,1.0
1999-02-03,18.25,18.5,17.5,17.63,156500,0.0348720747883156,0.0353497744429501,0.0334389758244122,0.0336873796448222,75119962,0.0,1.0
1999-02-04,19.25,19.75,18.25,18.5,379000,0.0367828734068535,0.0377382727161224,0.0348720747883156,0.0353497744429501,181919909,0.0,1.0
1999-02-05,19.81,20.0,19.06,19.56,285100,0.0378529206332347,0.0382159723707568,0.0364198216693313,0.0373752209786002,136847931,0.0,1.0
1999-02-08,19.13,20.0,19.13,19.94,321000,0.0365535775726289,0.0382159723707568,0.0365535775726289,0.0381013244536446,154079922,0.0,1.0
1999-02-09,18.38,19.63,18.13,19.5,181200,0.0351204786087255,0.0375089768818978,0.0346427789540911,0.0372605730614879,86975956,0.0,1.0
1999-02-10,18.19,18.88,17.88,18.38,308800,0.0347574268712034,0.0360758779179945,0.0341650792994566,0.0351204786087255,148223925,0.0,1.0
1999-02-11,19.75,20.5,18.25,18.25,275500,0.0377382727161224,0.0391713716800258,0.0348720747883156,0.0348720747883156,132239933,0.0,1.0
1999-02-12,20.88,21.0,20.0,20.0,228600,0.0398974751550701,0.0401267709892947,0.0382159723707568,0.0382159723707568,109727945,0.0,1.0
1999-02-16,21.0,22.13,18.88,21.25,439600,0.0401267709892947,0.0422859734282424,0.0360758779179945,0.0406044706439291,211007894,0.0,1.0
1999-02-17,19.88,20.75,19.5,20.5,141100,0.0379866765365323,0.0396490713346602,0.0372605730614879,0.0391713716800258,67727966,0.0,1.0
1999-02-18,20.19,20.75,19.63,20.5,147300,0.038579024108279,0.0396490713346602,0.0375089768818978,0.0391713716800258,70703964,0.0,1.0
1999-02-19,20.88,21.25,19.75,20.0,157000,0.0398974751550701,0.0406044706439291,0.0377382727161224,0.0382159723707568,75359962,0.0,1.0
1999-02-22,21.0,21.5,19.88,21.25,427600,0.0401267709892947,0.0410821702985636,0.0379866765365323,0.0406044706439291,205247897,0.0,1.0
1999-02-23,22.0,22.44,20.25,21.5,287700,0.0420375696078325,0.0428783209999892,0.0386936720253913,0.0410821702985636,138095930,0.0,1.0
1999-02-24,23.75,26.25,23.19,25.25,1276600,0.0453814671902738,0.0501584637366184,0.0443114199638926,0.0482476651180805,612767693,0.0,1.0
1999-02-25,23.0,25.5,22.63,24.75,310700,0.0439483682263704,0.048725364772715,0.0432413727375114,0.0472922658088116,149135925,0.0,1.0
1999-02-26,21.94,24.0,21.75,23.25,359600,0.0419229216907203,0.0458591668449082,0.0415598699531981,0.0444260678810048,172607913,0.0,1.0
1999-03-01,22.06,23.0,21.0,22.5,192000,0.0421522175249448,0.0439483682263704,0.0401267709892947,0.0429929689171014,92159953,0.0,1.0
1999-03-02,21.88,22.13,21.5,22.0,115100,0.041808273773608,0.0422859734282424,0.0410821702985636,0.0420375696078325,55247972,0.0,1.0
1999-03-03,20.38,22.0,20.25,22.0,127900,0.0389420758458012,0.0420375696078325,0.0386936720253913,0.0420375696078325,61391969,0.0,1.0
1999-03-04,19.94,21.5,19.75,21.38,119500,0.0381013244536446,0.0410821702985636,0.0377382727161224,0.0408528744643391,57359971,0.0,1.0
1999-03-05,21.06,21.13,20.13,20.13,164100,0.040241418906407,0.0403751748097046,0.0384643761911668,0.0384643761911668,78767960,0.0,1.0
1999-03-08,21.38,22.0,20.13,20.5,158100,0.0408528744643391,0.0420375696078325,0.0384643761911668,0.0391713716800258,75887962,0.0,1.0
1999-03-09,22.06,22.38,21.31,21.31,298300,0.0421522175249448,0.0427636730828769,0.0407191185610414,0.0407191185610414,143183928,0.0,1.0
1999-03-10,21.69,22.38,21.38,22.38,490300,0.0414452220360858,0.0427636730828769,0.0408528744643391,0.0427636730828769,235343882,0.0,1.0
1999-03-11,20.75,21.69,20.75,21.31,113100,0.0396490713346602,0.0414452220360858,0.0396490713346602,0.0407191185610414,54287972,0.0,1.0
1999-03-12,20.38,20.88,20.0,20.88,189100,0.0389420758458012,0.0398974751550701,0.0382159723707568,0.0398974751550701,90767954,0.0,1.0
1999-03-15,21.25,21.5,20.75,20.88,226700,0.0406044706439291,0.0410821702985636,0.0396490713346602,0.0398974751550701,108815945,0.0,1.0
1999-03-16,20.56,21.63,20.38,21.38,164900,0.039286019597138,0.0413305741189735,0.0389420758458012,0.0408528744643391,79151960,0.0,1.0
1999-03-17,20.69,21.13,20.19,20.75,107000,0.039534423417548,0.0403751748097046,0.038579024108279,0.0396490713346602,51359974,0.0,1.0
1999-03-18,20.94,21.25,20.25,20.75,96500,0.0400121230721824,0.0406044706439291,0.0386936720253913,0.0396490713346602,46319976,0.0,1.0
1999-03-19,21.0,21.63,20.88,20.88,219400,0.0401267709892947,0.0413305741189735,0.0398974751550701,0.0398974751550701,105311947,0.0,1.0
1999-03-22,20.38,21.5,20.38,21.44,76400,0.0389420758458012,0.0410821702985636,0.0389420758458012,0.0409675223814513,36671981,0.0,1.0
1999-03-23,19.13,20.5,18.75,20.5,341600,0.0365535775726289,0.0391713716800258,0.0358274740975845,0.0391713716800258,163967918,0.0,1.0
1999-03-24,19.0,19.13,18.25,19.0,126800,0.036305173752219,0.0365535775726289,0.0348720747883156,0.036305173752219,60863969,0.0,1.0
1999-03-25,19.25,20.0,18.88,18.94,84000,0.0367828734068535,0.0382159723707568,0.0360758779179945,0.0361905258351067,40319979,0.0,1.0
1999-03-26,20.94,21.0,19.5,19.5,183900,0.0400121230721824,0.0401267709892947,0.0372605730614879,0.0372605730614879,88271955,0.0,1.0
1999-03-29,21.56,22.06,21.19,21.56,137400,0.0411968182156759,0.0421522175249448,0.0404898227268169,0.0411968182156759,65951967,0.0,1.0
1999-03-30,19.75,21.81,19.63,21.63,144800,0.0377382727161224,0.0416745178703103,0.0375089768818978,0.0413305741189735,69503965,0.0,1.0
1999-03-31,21.13,21.38,19.44,20.38,320000,0.0403751748097046,0.0408528744643391,0.0371459251443757,0.0389420758458012,153599923,0.0,1.0
1999-04-01,20.5,21.25,20.13,21.13,63400,0.0391713716800258,0.0406044706439291,0.0384643761911668,0.0403751748097046,30431984,0.0,1.0
1999-04-05,19.88,20.75,19.75,20.25,205500,0.0379866765365323,0.0396490713346602,0.0377382727161224,0.0386936720253913,98639950,0.0,1.0
1999-04-06,19.38,20.13,19.0,20.06,145200,0.0370312772272634,0.0384643761911668,0.036305173752219,0.0383306202878691,69695965,0.0,1.0
1999-04-07,21.0,21.13,19.38,19.5,186000,0.0401267709892947,0.0403751748097046,0.0370312772272634,0.0372605730614879,89279955,0.0,1.0
1999-04-08,21.38,22.0,20.88,21.13,271100,0.0408528744643391,0.0420375696078325,0.0398974751550701,0.0403751748097046,130127934,0.0,1.0
1999-04-09,21.0,21.5,20.88,21.5,101300,0.0401267709892947,0.0410821702985636,0.0398974751550701,0.0410821702985636,48623975,0.0,1.0
1999-04-12,20.13,20.75,19.75,20.75,69400,0.0384643761911668,0.0396490713346602,0.0377382727161224,0.0396490713346602,33311983,0.0,1.0
1999-04-13,19.31,20.5,19.0,20.5,75300,0.0368975213239657,0.0391713716800258,0.036305173752219,0.0391713716800258,36143981,0.0,1.0
1999-04-14,18.75,19.69,18.75,19.25,100600,0.0358274740975845,0.0376236247990101,0.0358274740975845,0.0367828734068535,48287975,0.0,1.0
1999-04-15,19.25,19.25,18.75,19.25,74700,0.0367828734068535,0.0367828734068535,0.0358274740975845,0.0367828734068535,35855982,0.0,1.0
1999-04-16,19.88,20.19,19.13,19.13,81100,0.0379866765365323,0.038579024108279,0.0365535775726289,0.0365535775726289,38927980,0.0,1.0
1999-04-19,19.0,20.13,18.75,20.13,65200,0.036305173752219,0.0384643761911668,0.0358274740975845,0.0384643761911668,31295984,0.0,1.0
1999-04-20,18.63,19.75,18.44,19.0,141000,0.03559817826336,0.0377382727161224,0.0352351265258378,0.036305173752219,67679966,0.0,1.0
1999-04-21,18.94,19.0,18.5,18.63,78100,0.0361905258351067,0.036305173752219,0.0353497744429501,0.03559817826336,37487981,0.0,1.0
1999-04-22,18.13,19.0,17.94,19.0,473300,0.0346427789540911,0.036305173752219,0.0342797272165689,0.036305173752219,227183886,0.0,1.0
1999-04-23,17.25,18.13,17.13,18.06,262600,0.0329612761697778,0.0346427789540911,0.0327319803355532,0.0345090230507934,126047936,0.0,1.0
1999-04-26,16.38,17.5,16.0,17.25,257300,0.0312988813716499,0.0334389758244122,0.0305727778966055,0.0329612761697778,123503938,0.0,1.0
1999-04-27,18.13,18.25,16.5,16.75,472800,0.0346427789540911,0.0348720747883156,0.0315281772058744,0.0320058768605089,226943886,0.0,1.0
1999-04-28,18.0,18.25,17.44,18.25,250200,0.0343943751336812,0.0348720747883156,0.0333243279073,0.0348720747883156,120095939,0.0,1.0
1999-04-29,18.0,18.13,17.63,18.06,100300,0.0343943751336812,0.0346427789540911,0.0336873796448222,0.0345090230507934,48143975,0.0,1.0
1999-04-30,18.25,19.0,18.06,18.19,206900,0.0348720747883156,0.036305173752219,0.0345090230507934,0.0347574268712034,99311950,0.0,1.0
1999-05-03,18.38,18.44,17.88,18.44,70500,0.0351204786087255,0.0352351265258378,0.0341650792994566,0.0352351265258378,33839983,0.0,1.0
1999-05-04,17.38,18.38,17.0,18.38,200100,0.0332096799901877,0.0351204786087255,0.0324835765151433,0.0351204786087255,96047951,0.0,1.0
1999-05-05,17.75,17.75,16.5,17.5,301200,0.0339166754790467,0.0339166754790467,0.0315281772058744,0.0334389758244122,144575927,0.0,1.0
1999-05-06,17.41,18.0,16.88,17.63,74200,0.0332670039487438,0.0343943751336812,0.0322542806809188,0.0336873796448222,35615982,0.0,1.0
1999-05-07,17.5,17.63,16.88,16.88,52100,0.0334389758244122,0.0336873796448222,0.0322542806809188,0.0322542806809188,25007987,0.0,1.0
1999-05-10,17.5,17.88,17.38,17.38,41000,0.0334389758244122,0.0341650792994566,0.0332096799901877,0.0332096799901877,19679990,0.0,1.0
1999-05-11,18.44,19.0,17.88,18.25,357800,0.0352351265258378,0.036305173752219,0.0341650792994566,0.0348720747883156,171743914,0.0,1.0
1999-05-12,19.0,19.06,18.38,18.63,351000,0.036305173752219,0.0364198216693313,0.0351204786087255,0.03559817826336,168479915,0.0,1.0
1999-05-13,19.0,19.5,18.94,19.0,145700,0.036305173752219,0.0372605730614879,0.0361905258351067,0.036305173752219,69935965,0.0,1.0
1999-05-14,18.0,19.0,17.75,19.0,59300,0.0343943751336812,0.036305173752219,0.0339166754790467,0.036305173752219,28463985,0.0,1.0
1999-05-17,18.88,18.88,17.69,17.75,74500,0.0360758779179945,0.0360758779179945,0.0338020275619344,0.0339166754790467,35759982,0.0,1.0
1999-05-18,19.75,20.0,18.5,19.06,315700,0.0377382727161224,0.0382159723707568,0.0353497744429501,0.0364198216693313,151535924,0.0,1.0
1999-05-19,18.88,21.38,18.56,20.63,941100,0.0360758779179945,0.0408528744643391,0.0354644223600624,0.0394197755004357,451727774,0.0,1.0
1999-05-20,17.38,19.0,16.69,19.0,371200,0.0332096799901877,0.036305173752219,0.0318912289433966,0.036305173752219,178175910,0.0,1.0
1999-05-21,17.0,17.13,16.5,17.13,632300,0.0324835765151433,0.0327319803355532,0.0315281772058744,0.0327319803355532,303503848,0.0,1.0
1999-05-24,16.94,17.5,16.69,17.13,338800,0.0323689285980311,0.0334389758244122,0.0318912289433966,0.0327319803355532,162623918,0.0,1.0
