date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1999-03-10,102.1,102.3,100.6,102.3,2616000,43.388067856181,43.4730591742147,42.7506329709286,43.4730591742147,5232000,0.0,1.0
1999-03-11,102.6,103.5,100.6,102.9,4844300,43.6005461512652,43.9830070824166,42.7506329709286,43.7280331283157,9688600,0.0,1.0
1999-03-12,100.1,102.3,99.31,102.3,4371800,42.5381546758445,43.4730591742147,42.2024389696116,43.4730591742147,8743600,0.0,1.0
1999-03-15,103.0,103.1,99.81,100.9,3184500,43.7705287873325,43.8130244463493,42.4149172646957,42.8781199479791,6369000,0.0,1.0
1999-03-16,103.9,104.3,102.3,103.4,2452900,44.152989718484,44.3229723545513,43.4730591742147,43.9405114233998,4905800,0.0,1.0
1999-03-17,103.1,104.0,102.8,103.9,1982500,43.8130244463493,44.1954853775008,43.6855374692988,44.152989718484,3965000,0.0,1.0
1999-03-18,105.1,105.2,103.0,103.0,2424200,44.6629376266859,44.7054332857027,43.7705287873325,43.7705287873325,4848400,0.0,1.0
1999-03-19,102.4,106.5,102.4,106.5,3580200,43.5155548332315,45.2578768529215,43.5155548332315,45.2578768529215,7160400,0.0,1.0
1999-03-22,101.2,103.1,101.0,102.9,2512400,43.0056069250296,43.8130244463493,42.9206156069959,43.7280331283157,5024800,0.0,1.0
1999-03-23,97.63,101.0,97.44,100.6,5481200,41.4885118981289,42.9206156069959,41.4077701459969,42.7506329709286,10962400,0.0,1.0
1999-03-24,100.9,101.0,97.0,98.5,4223500,42.8781199479791,42.9206156069959,41.2207892463228,41.8582241315753,8447000,0.0,1.0
1999-03-25,104.6,104.6,101.8,102.5,4066900,44.4504593316017,44.4504593316017,43.2605808791306,43.5580504922484,8133800,0.0,1.0
1999-03-26,103.5,104.9,103.1,103.8,4128100,43.9830070824166,44.5779463086522,43.8130244463493,44.1104940594671,8256200,0.0,1.0
1999-03-29,107.3,107.3,104.1,104.8,2556900,45.5978421250561,45.5978421250561,44.2379810365176,44.5354506496354,5113800,0.0,1.0
1999-03-30,106.5,108.0,106.1,107.1,2470300,45.2578768529215,45.8953117381739,45.0878942168542,45.5128508070224,4940600,0.0,1.0
1999-03-31,104.9,108.4,104.6,108.3,4128300,44.5779463086522,46.0652943742412,44.4504593316017,46.0227987152244,8256600,0.0,1.0
1999-04-01,107.1,108.1,105.4,108.0,4357900,45.5128508070224,45.9378073971907,44.7904246037364,45.8953117381739,8715800,0.0,1.0
1999-04-05,111.0,111.2,108.2,108.9,2848600,47.1701815086787,47.2551728267124,45.9803030562075,46.2777726693253,5697200,0.0,1.0
1999-04-06,111.2,112.4,109.9,110.9,3761200,47.2551728267124,47.7651207349143,46.7027292594936,47.1276858496619,7522400,0.0,1.0
1999-04-07,110.1,112.5,107.7,112.3,5961800,46.7877205775273,47.8076163939311,45.7678247611234,47.7226250758975,11923600,0.0,1.0
1999-04-08,110.9,111.5,107.6,109.9,3976200,47.1276858496619,47.3826598037629,45.7253291021066,46.7027292594936,7952400,0.0,1.0
1999-04-09,111.6,111.9,110.4,110.8,2473400,47.4251554627797,47.5526424398302,46.9152075545777,47.0851901906451,4946800,0.0,1.0
1999-04-12,110.9,111.6,108.9,109.0,5467000,47.1276858496619,47.4251554627797,46.2777726693253,46.3202683283422,10934000,0.0,1.0
1999-04-13,109.4,111.8,108.5,111.6,4981100,46.4902509644095,47.5101467808133,46.107790033258,47.4251554627797,9962200,0.0,1.0
1999-04-14,105.6,110.9,105.0,110.8,10626900,44.87541592177,47.1276858496619,44.6204419676691,47.0851901906451,21253800,0.0,1.0
1999-04-15,107.1,107.2,102.3,106.0,8825300,45.5128508070224,45.5553464660393,43.4730591742147,45.0453985578373,17650600,0.0,1.0
1999-04-16,103.9,106.8,103.4,106.8,8637000,44.152989718484,45.385363829972,43.9405114233998,45.385363829972,17274000,0.0,1.0
1999-04-19,99.06,105.5,98.02,104.6,9730300,42.0961998220695,44.8329202627532,41.6542449682945,44.4504593316017,19460600,0.0,1.0
1999-04-20,101.3,102.1,97.69,98.63,8706800,43.0481025840464,43.388067856181,41.5140092935389,41.9134684882971,17413600,0.0,1.0
1999-04-21,106.3,106.4,100.9,102.3,5470200,45.1728855348878,45.2153811939046,42.8781199479791,43.4730591742147,10940400,0.0,1.0
1999-04-22,109.2,109.5,106.6,107.3,6815300,46.4052596463758,46.5327466234263,45.3003725119383,45.5978421250561,13630600,0.0,1.0
1999-04-23,110.6,111.4,107.5,108.6,3532200,47.0001988726114,47.340164144746,45.6828334430897,46.1502856922748,7064400,0.0,1.0
1999-04-26,113.2,114.0,111.0,111.4,2710500,48.1050860070489,48.4450512791835,47.1701815086787,47.340164144746,5421000,0.0,1.0
1999-04-27,111.4,114.6,110.0,114.0,8241400,47.340164144746,48.7000252332845,46.7452249185104,48.4450512791835,16482800,0.0,1.0
1999-04-28,107.6,110.9,107.1,110.5,3838400,45.7253291021066,47.1276858496619,45.5128508070224,46.9577032135946,7676800,0.0,1.0
1999-04-29,106.8,107.8,104.5,107.1,9574100,45.385363829972,45.8103204201402,44.4079636725849,45.5128508070224,19148200,0.0,1.0
1999-04-30,107.4,108.8,103.6,108.3,7647600,45.6403377840729,46.2352770103085,44.0255027414335,46.0227987152244,15295200,0.0,1.0
1999-05-03,106.9,107.6,105.1,107.1,5554900,45.4278594889888,45.7253291021066,44.6629376266859,45.5128508070224,11109800,0.0,1.0
1999-05-04,105.2,108.8,104.6,107.1,7714200,44.7054332857027,46.2352770103085,44.4504593316017,45.5128508070224,15428400,0.0,1.0
1999-05-05,108.4,108.4,102.1,105.3,6321300,46.0652943742412,46.0652943742412,43.388067856181,44.7479289447195,12642600,0.0,1.0
1999-05-06,104.4,108.3,103.4,107.4,7586700,44.3654680135681,46.0227987152244,43.9405114233998,45.6403377840729,15173400,0.0,1.0
1999-05-07,105.9,106.3,103.1,105.4,8215200,45.0029028988205,45.1728855348878,43.8130244463493,44.7904246037364,16430400,0.0,1.0
1999-05-10,107.0,107.7,105.4,106.6,5302100,45.4703551480056,45.7678247611234,44.7904246037364,45.3003725119383,10604200,0.0,1.0
1999-05-11,108.7,109.3,107.3,107.9,4400400,46.1927813512917,46.4477553053926,45.5978421250561,45.8528160791571,8800800,0.0,1.0
